Name,Nationality,Gender,Birth,Death,Age,Total Works,Total Departments,Architecture & Design,Fluxus Collection,Drawings & Prints,Painting & Sculpture,Media and Performance,Photography,Film,Architecture & Design - Image Archive,Common Department,Start Work Date,End Work Date,Total Years
0.9188361,0.47692308,1.0,0.9424136,0.9466403,0.016312407,0.0,0.2,0.0,0.0,0.003264095,0.125,0.0,0.0,0.0,0.0,0.16666667,0.0027957382,0.95600593,0.056074765
0.6600306,0.015384615,1.0,0.9714572,0.0,0.041028176,0.0039120717,0.4,0.0,0.0,0.013946587,0.097222224,0.0,0.0015901411,0.0,0.0,0.16666667,0.0033650522,0.98566484,0.1588785
0.6232772,0.015384615,1.0,0.98197293,0.0,0.030647554,3.7257824E-4,0.4,0.0,0.0,0.005934718,0.041666668,0.004854369,0.0,0.0,0.0,0.16666667,0.0037513725,0.9990114,0.056074765
0.035222054,0.47692308,1.0,0.9714572,0.9851779,0.026198715,0.024590164,0.2,0.0,0.0,0.08367953,0.027777778,0.0,0.0,0.0,0.0,0.16666667,0.0033548858,0.98517054,0.12149533
0.51990813,0.36923078,1.0,0.9654482,0.9871541,0.03410776,0.0013040239,0.0,0.0,0.0,0.010089021,0.0,0.0,0.0,0.0,0.0,0.16666667,0.0033752185,0.97330695,0.018691588
0.43491578,0.015384615,1.0,0.97596395,0.0,0.036579337,0.0017697467,0.0,0.0,0.0,0.0115727,0.0,0.0,0.0,0.0,0.0,0.16666667,0.0035582124,0.981216,0.0
0.14624809,0.33846155,1.0,0.9734602,0.9985178,0.03756797,0.025987333,0.2,0.0,0.0,0.0884273,0.013888889,0.0,0.0,0.0,0.0,0.16666667,0.0035175472,0.9886308,0.06542056
0.74732006,0.33846155,1.0,0.93490237,0.9619565,0.039050914,0.083178096,0.2,0.0,0.0,0.2694362,0.06944445,0.0,0.0,0.0,0.0,0.16666667,0.0026025781,0.9619377,0.25233644
0.5551302,0.015384615,0.5,0.9669504,0.9990119,0.044488385,0.0035394933,0.2,0.0,0.0,0.016023738,0.055555556,0.0,0.0,0.0,0.0,0.16666667,0.0032837216,0.9876421,0.20560747
0.108728945,0.015384615,0.5,0.95242864,0.9802371,0.040039547,0.007824143,0.0,0.0,0.0,0.0,0.0,0.0,0.020671835,0.0,0.0,1.0,0.0028567363,0.95353436,0.018691588
0.77794796,0.046153847,1.0,0.9734602,0.0,0.039050914,0.0027943368,0.2,0.0,0.0,0.0145400595,0.013888889,0.0,0.0,0.0,0.0,0.16666667,0.0035175472,0.9866535,0.056074765
0.618683,0.9076923,1.0,0.97295946,0.0,0.03954523,0.0017697467,0.2,0.0034466698,0.0,5.934718E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0034972145,0.9866535,0.093457945
0.58192956,0.015384615,0.5,0.9569354,0.993083,0.048442908,0.31305885,0.2,0.0,0.0,1.0,0.15277778,0.0,0.0,0.0,0.0,0.16666667,0.0,0.99555117,0.5140187
